text,label
Conspiracy theory: The volcanic eruption in London was simulated using CGI.,0
"Official update: flood in Mumbai has been contained, but recovery efforts continue.",1
Officials confirm at least 144 injured after hurricane struck Manila last night.,1
"Don't trust the news! There was no meteor strike in New York, it's all a hoax by the media.",0
"Don't trust the news! There was no meteor strike in California, it's all a hoax by the media.",0
Breaking: earthquake has caused widespread damage in California. Evacuation orders in place.,1
Leaked documents show that the meteor strike in Florida was predicted in a cartoon 10 years ago.,0
URGENT: Drinking bleach cures any radiation from the tornado in London!,0
Breaking: tornado has caused widespread damage in Mumbai. Evacuation orders in place.,1
Leaked documents show that the wildfire in Tokyo was predicted in a cartoon 10 years ago.,0
Meteorological department issues warning for tornado in Texas and surrounding areas.,1
Breaking: explosion has caused widespread damage in Sydney. Evacuation orders in place.,1
"Official update: earthquake in Beijing has been contained, but recovery efforts continue.",1
Search and rescue teams dispatched to Manila following a sudden flood.,1
A magnitude 6.2 hurricane hit Jakarta today. Local authorities advise caution.,1
Meteorological department issues warning for landslide in London and surrounding areas.,1
SHOCKING video shows volcanic eruption in California was actually caused by aliens! Click here to watch.,0
Rumor says the volcanic eruption in Florida was staged by actors to control the population.,0
Officials confirm at least 107 injured after explosion struck Tokyo last night.,1
Breaking: cyclone has caused widespread damage in Tokyo. Evacuation orders in place.,1
UNBELIEVABLE: Government secret weapon caused the wildfire in Florida!,0
Meteorological department issues warning for landslide in New York and surrounding areas.,1
Alert! Zombie outbreak reported after the government hoax in New York. Spread this!,0
Leaked documents show that the alien invasion in Tokyo was predicted in a cartoon 10 years ago.,0
Meteorological department issues warning for earthquake in California and surrounding areas.,1
Breaking: explosion has caused widespread damage in Texas. Evacuation orders in place.,1
URGENT: Drinking bleach cures any radiation from the tornado in New York!,0
Severe tornado reported in Beijing. Emergency services are on the scene.,1
"Don't trust the news! There was no wildfire in London, it's all a hoax by the media.",0
Severe tornado reported in Mumbai. Emergency services are on the scene.,1
SHOCKING video shows landslide in Sydney was actually caused by aliens! Click here to watch.,0
Search and rescue teams dispatched to Texas following a sudden wildfire.,1
Red Cross providing emergency aid to families affected by tornado in Paris.,1
"Don't trust the news! There was no volcanic eruption in Paris, it's all a hoax by the media.",0
Casualties feared after a major tornado occurred in Florida early this morning.,1
Red Cross providing emergency aid to families affected by landslide in Paris.,1
SHOCKING video shows wildfire in Mumbai was actually caused by aliens! Click here to watch.,0
UNBELIEVABLE: Government secret weapon caused the monster attack in New York!,0
Conspiracy theory: The volcanic eruption in Beijing was simulated using CGI.,0
Alert! Zombie outbreak reported after the government hoax in Beijing. Spread this!,0
Local reports claim a giant sea monster caused the tornado in California!,0
UNBELIEVABLE: Government secret weapon caused the earthquake in Texas!,0
Alert! Zombie outbreak reported after the earthquake in New York. Spread this!,0
Rumor says the volcanic eruption in Texas was staged by actors to control the population.,0
Casualties feared after a major wildfire occurred in Paris early this morning.,1
